,popup,Plant state abbreviation_x,lat,lon,Plant state abbreviation_y,plant_annual_generation,state_annual_generation,perc_gen_state
285,AZ State University - Tempe Campus Solar,AZ,33.424279,-111.92822,AZ,3541,108500902.0,0.0032635673388226
286,Badger 1,AZ,33.498003,-112.813458,AZ,37903,108500902.0,0.034933350139338
287,Black Mountain Generating Station,AZ,35.0361,-114.1594,AZ,127686,108500902.0,0.1176819709756883
288,Black Mountain Solar LLC,AZ,35.0227,-114.1627,AZ,20384,108500902.0,0.0187869405915169
289,Bonnybrooke PV,AZ,33.053,-111.34,AZ,134962,108500902.0,0.1243879060102191
290,Broadway 2 - Tucson Phase II,AZ,32.24817,-111.2611,AZ,6912,108500902.0,0.0063704539525394
291,Broadway 3 - Tucson Phase I,AZ,32.24817,-111.26111,AZ,1962,108500902.0,0.0018082798979864
292,Buckeye Union HS District 201,AZ,33.419167,-112.576111,AZ,7063,108500902.0,0.0065096233024864
293,Canyon Del Oro High School Solar,AZ,32.374,-110.974,AZ,2618,108500902.0,0.0024128831666302
294,Chino Solar Valley,AZ,34.71843,-112.42899,AZ,46770,108500902.0,0.0431056324305949
295,Cholla,AZ,34.9394,-110.3033,AZ,1926547,108500902.0,1.775604593591305
296,Cogeneration 1,AZ,32.229922,-110.952797,AZ,50731,108500902.0,0.0467562933255614
297,Cogeneration 2,AZ,32.240833,-110.948333,AZ,35651,108500902.0,0.0328577913573474
298,Cogenra - TEP,AZ,32.101944,-110.813333,AZ,2034,108500902.0,0.0018746387933254
299,Cotton Center Solar Hybrid,AZ,33.034722,-112.661667,AZ,40865,108500902.0,0.0376632813614766
300,Crosscut,AZ,33.439375,-111.946052,AZ,0,108500902.0,0.0
301,Davis Dam,AZ,35.197044,-114.570669,AZ,1115620,108500902.0,1.0282126502505942
302,Davis Monthan AFB (AZ) West Airfield,AZ,32.17356,-110.899734,AZ,27657,108500902.0,0.0254901106720753
303,Desert Star Hybrid,AZ,33.145,-112.66,AZ,31627,108500902.0,0.0291490664289592
304,Douglas,AZ,31.364122,-109.5538,AZ,62,108500902.0,5.714238209743178e-05
305,Dry Lake Wind LLC,AZ,34.6596,-110.2842,AZ,118509,108500902.0,0.1092239767739442
306,East Line Solar,AZ,32.84703,-111.565072,AZ,272684,108500902.0,0.2513195696750981
307,Estrella Mountain PV,AZ,33.409803,-112.340297,AZ,3987,108500902.0,0.0036746238293945
308,Foothills Solar Plant Hybrid,AZ,32.64856,-114.428741,AZ,104278,108500902.0,0.0961079567799353
309,Fort Huachuca Solar PV Project,AZ,31.555278,-110.35,AZ,40063,108500902.0,0.0369241169995066
310,FRB Solar Farm,AZ,32.108147,-110.824662,AZ,843,108500902.0,0.0007769520662602
311,"Gato Montes Solar, LLC",AZ,32.102778,-110.819722,AZ,8339,108500902.0,0.0076856503921045
312,Gila Bend Hybrid,AZ,32.940833,-112.881389,AZ,96043,108500902.0,0.0885181581255425
313,Gila River Power Block 2,AZ,32.975,-112.694444,AZ,3130183,108500902.0,2.8849373067884727
314,Gila River Power Station,AZ,32.975,-112.6944,AZ,7066889,108500902.0,6.51320760448609
315,"Gilbert Solar Facility I, LLC",AZ,33.355862,-111.802355,AZ,3688,108500902.0,0.003399050083473
316,Glen Canyon Dam,AZ,36.936614,-111.483872,AZ,3086691,108500902.0,2.844852847398448
317,Gray Hawk Solar,AZ,35.3635,-113.8978,AZ,137440,108500902.0,0.1266717579914681
318,Headgate Rock,AZ,34.168264,-114.277356,AZ,68991,108500902.0,0.0635856465045792
319,Hoover Dam (AZ),AZ,36.01551,-114.738006,AZ,1604872,108500902.0,1.47913240389467
320,Horse Mesa,AZ,33.5907,-111.344,AZ,79530,108500902.0,0.0732989298098185
321,Hyder II Hybrid,AZ,33.027,-113.3489,AZ,38069,108500902.0,0.0350863442591472
322,Hyder Solar Hybrid,AZ,33.02566,-113.34397,AZ,40608,108500902.0,0.0374264169711695
323,Intel - Ocotillo Campus Solar,AZ,33.243261,-111.892354,AZ,9198,108500902.0,0.0084773488795512
324,IRC Generator Facility,AZ,36.9708,-112.5264,AZ,0,108500902.0,0.0
325,Iron Horse Battery Storage Hybrid,AZ,32.098492,-110.819119,AZ,3012,108500902.0,0.0027760137883462
326,Jacobson 5 MW Solar,AZ,35.304528,-114.01183,AZ,9373,108500902.0,0.0086386378612778
327,Jewish Community Center PV,AZ,33.603056,-111.924722,AZ,2109,108500902.0,0.0019437626426368
328,Kayenta Solar Project,AZ,36.771944,-110.263889,AZ,125524,108500902.0,0.1156893608128714
329,Kingman 1,AZ,35.145833,-114.0675,AZ,21333,108500902.0,0.0196615876981372
330,La Senita,AZ,35.241675,-114.004591,AZ,2080,108500902.0,0.0019170347542364
331,Lake Pleasant WTP,AZ,33.820556,-112.24,AZ,14482,108500902.0,0.013347354476371
332,Luke Solar,AZ,33.526111,-112.37944,AZ,30771,108500902.0,0.028360132895485
333,Macys Goodyear,AZ,33.409063,-112.414596,AZ,3390,108500902.0,0.0031243979888757
334,Mesa Carport PV,AZ,33.347,-111.602,AZ,7841,108500902.0,0.0072266680326768
335,Mesquite Generating Station,AZ,33.345,-112.864167,AZ,6173339,108500902.0,5.689666063789958
336,Mesquite Solar 1,AZ,33.341833,-112.904028,AZ,404970,108500902.0,0.3732411367418862
337,"Mesquite Solar 2, LLC",AZ,33.332777,-112.911388,AZ,256211,108500902.0,0.2361372074123402
338,"Mesquite Solar 3, LLC",AZ,33.347583,-112.936805,AZ,433102,108500902.0,0.3991690317929338
339,Mohave County Wind Farm,AZ,35.791142,-114.504504,AZ,1070180,108500902.0,0.9863328140811216
340,Mohave Electric at Fort Mohave,AZ,34.9843,-114.5565,AZ,9493,108500902.0,0.0087492360201761
341,Mohave Electric Cooperative at Joy Lane,AZ,34.9843,-114.5565,AZ,29147,108500902.0,0.0268633711450619
342,Mormon Flat,AZ,33.5536,-111.4431,AZ,38200,108500902.0,0.0352070805826112
343,North Loop,AZ,32.401,-111.1262,AZ,1688,108500902.0,0.0015557474351687
344,Northwest Regional,AZ,33.681944,-112.476666,AZ,19470,108500902.0,0.0179445512812418
345,Novo BioPower Plant,AZ,34.503158,-110.334953,AZ,190741,108500902.0,0.1757966952201005
346,OE_AZ1,AZ,33.776667,-113.656111,AZ,87773,108500902.0,0.0808961016748045
347,Palo Verde,AZ,33.3881,-112.8617,AZ,31629861,108500902.0,29.151703273397672
348,Paloma Solar Hybrid,AZ,33.021111,-112.661389,AZ,39553,108500902.0,0.036454074824189
349,Paradise Valley H.S. PV,AZ,33.6416,-111.9997,AZ,2538,108500902.0,0.002339151060698
