,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
557,Arnold Cochran,GA,2993,124199660,0.002409829463301268
558,Arpin Dam,WI,6867,64242371,0.010689206972139929
559,Arrache 4006,CA,2054,196943237,0.0010429401035994955
560,Arrache 4013,CA,2038,196943237,0.0010348159353143972
561,Arrache 8083,CA,3280,196943237,0.0016654544984451534
562,Arrowrock Hydroelectric Project,ID,38200,16834340,0.22691712297601216
563,Arsenal Hill Power Plant,LA,2813263,96954180,2.901641785841518
564,Arthur Kill Generating Station,NY,875476,123769368,0.7073446476675876
565,"Arthur Solar, LLC",NC,9398,129720625,0.007244800123341989
566,Arvada,WY,870,43460723,0.0020018074710814173
567,Arvah B Hopkins,FL,1411833,246185183,0.5734841483128577
568,Ascend Performance Materials Texas Inc.,TX,222543,481398138,0.04622847128669202
569,Ascutney,VT,269,2107642,0.012763078359607561
570,Ashburnham Energy Storage Project,MA,-141,19429320,-0.0007257073330409916
571,Ashby Duffy CSG Solar Farm,MA,3182,19429320,0.016377310168343515
572,"Ashby Solar, LLC CSG",MA,1372,19429320,0.00706149263072511
573,Ashdown,AR,601507,61100036,0.9844625950793221
574,Asheville,NC,3791742,129720625,2.923006268278464
575,Asheville-Rock Hill Battery,NC,-205,129720625,-0.00015803192437594254
576,Ashland,KS,304,56572967,0.0005373591241908879
577,Ashley Solar Farm,NC,7137,129720625,0.0055018236305907405
578,Ashokan,NY,7104,123769368,0.005739707744164937
579,Ashtabula,OH,175414,125609074,0.13965073892671162
580,Ashtabula Wind Energy Center,ND,139379,43032351,0.3238935283828671
581,Ashtabula Wind II LLC,ND,363744,43032351,0.8452803333938228
582,Ashtabula Wind III LLC,ND,202740,43032351,0.4711339150398732
583,Ashton,ID,29845,16834340,0.17728642762353616
584,"Aspen Solar, LLC",NC,8934,129720625,0.006887108353047173
585,Aspiration G,CA,22327,196943237,0.011336769081336873
586,Assembly Solar II LLC,MI,6135,115298866,0.00532095432751264
587,Assembly Solar Project,MI,101807,115298866,0.08829835325526965
588,"Aster Community Solar Garden, LLC",MN,1443,59157452,0.002439253130780548
589,Astoria Energy,NY,5899776,123769368,4.766749717910816
590,Astoria Gas Turbines,NY,37392,123769368,0.03021102927503031
591,Astoria Generating Station,NY,0,123769368,0.0
592,Astoria Station,SD,271388,17322385,1.5666895753673642
593,Astra Wind Farm,TX,436088,481398138,0.09058780364455835
594,Atascadero State Hospital,CA,2010,196943237,0.0010205986408154753
595,Atchison County Wind,MO,651137,76941313,0.8462774738455529
596,Athens - Coopers Corner BESS,MN,-173,59157452,-0.00029243991103606015
597,Athens BESS,MN,-367,59157452,-0.0006203783083828559
598,Athens Energy,ME,59221,10900855,0.5432693123612781
599,Athens Generating Plant,NY,1770428,123769368,1.4304250143702761
600,Athens MN CONX,MN,11116,59157452,0.018790532087149394
601,Athens Regional Medical Center,GA,24,124199660,1.932372439666904e-05
602,Atkinson Farm Solar,NC,9033,129720625,0.006963426209209213
603,Atkinson Solar II,NC,3483,129720625,0.0026850009395190623
604,Atlanta Falcons Solar,GA,1273,124199660,0.0010249625482066538
605,Atlanta Gift Mart LP,GA,0,124199660,0.0
606,Atlantic,IA,157,67198530,0.0002336360631698342
607,Atlantic City Convention Center,NJ,2984,61421718,0.004858216437384575
608,Atlantic Coast Freezers Solar Facility,NJ,2622,61421718,0.004268848357514194
609,Atood II,SC,3990,98113889,0.004066702523635567
610,Attala,MS,2492523,67723484,3.680441189351688
611,Atwater Solar,MN,7962,59157452,0.013458997524098907
612,Atwell Island,CA,35526,196943237,0.01803870015602516
613,Atwell Island West Solar,CA,37005,196943237,0.018789677961878935
614,Auburn,NE,374,37910817,0.0009865258245423728
615,Auburn LFG Energy Facility,NY,0,123769368,0.0
616,Audrain Generating Station,MO,42136,76941313,0.05476381719662102
617,Audrey Solar,NC,5609,129720625,0.004323907628412983
618,Auglaize Hydro,OH,9097,125609074,0.007242311172519272
619,August Wind Farm,IA,5683,67198530,0.008457030235631643
620,Augusta Electric Plant No 1,KS,18,56572967,3.181731656393415e-05
621,Augusta Electric Plant No 2,KS,2898,56572967,0.005122587966793398
622,Augusta PV - BD Solar Augusta LLC,ME,4025,10900855,0.03692370919528789
623,Augusta Solar,SC,3592,98113889,0.0036610514949621453
624,Augusta Solar Farm,NJ,4257,61421718,0.006930773248641465
625,"Augustus Farm, LLC",NC,9478,129720625,0.007306471118220406
626,Auke Bay,AK,-353,6595656,-0.005352007442474259
627,"Aulander Holloman Solar, LLC",NC,198328,129720625,0.1528885634030826
628,"Aulander Hwy 42 Solar, LLC",NC,9360,129720625,0.0072155064007747415
629,Auriga Community Solar,MN,1984,59157452,0.003353761754309499
630,Aurora,IL,774172,181296239,0.42702044138929984
631,Aurora County Wind,SD,82659,17322385,0.47718024971734546
632,Aurora Energy LLC Chena,AK,177115,6595656,2.685328040152488
633,Aurora Wind Project,ND,726540,43032351,1.6883576730446357
634,Austin,TX,7556,481398138,0.001569594770638685
635,Austin Gas Recovery,TX,29166,481398138,0.006058602578142918
636,"Auten Road Farm, LLC",NC,9427,129720625,0.007267155858985417
637,Autumn Hills Generating Facility,MI,0,115298866,0.0
638,Autumn Hills LLC,MN,4476,59157452,0.007566248796516795
639,Auwahi Wind Energy Hybrid,HI,97342,9180551,1.0603067288662738
640,Avalon Hydropower,NC,5813,129720625,0.004481168665352946
641,Avalon Solar,AZ,71931,108500902,0.06629530139758653
642,Avalon Solar II,AZ,43567,108500902,0.04015358323933565
643,Avenal Park,CA,11002,196943237,0.005586381217040725
644,Avenue A Generator Sets,IL,214,181296239,0.00011803885242208471
645,Aviator Wind,TX,1793111,481398138,0.3724798370532958
646,Avon Lake,OH,828701,125609074,0.6597461263029453
647,Avra Valley Solar,AZ,67215,108500902,0.06194879375288512
648,Axiall Natrium Plant,WV,752589,65836039,1.1431261835178148
649,Axiall Plaquemine,LA,1489470,96954180,1.5362617681878183
650,Axio Green LLC,MA,2615,19429320,0.013459040254625484
651,Axium Modesto Solar,CA,62259,196943237,0.03161266207887098
652,Ayers Island,NH,41676,17193202,0.24239812921409287
653,Ayers Village Solar,MA,2648,19429320,0.013628886651720183
654,Ayrshire,NC,36252,129720625,0.027946211329154483
655,"Azalea Solar, LLC",GA,11293,124199660,0.009092617483815978
656,Aziscohos Hydroelectric Project,ME,16574,10900855,0.15204311955346622
657,Azure Sky Solar,TX,232270,481398138,0.04824904412073152
658,Azusa,CA,0,196943237,0.0
659,B Braun Medical,CA,35152,196943237,0.017848797722360987
660,B&K Energy Systems LLC,MN,1081,59157452,0.0018273268429478673
661,B.R. Corcoran CSG,MN,8575,59157452,0.014495215243550382
662,B.R. Sartell CSG,MN,4758,59157452,0.008042942755546673
663,B.R. Sauk Rapids CSG,MN,8585,59157452,0.014512119284650732
664,BASF Freeport Works,TX,572814,481398138,0.11898965841035306
665,BBARWA,CA,29,196943237,1.4725055016740686e-05
666,BBB Corporate Headquarters,NJ,1148,61421718,0.001869045733953583
667,BC Solar,OR,17876,61016793,0.02929685275330678
668,"BG Stewart Solar Farm, LLC",NC,8707,129720625,0.006712116905079666
669,BJ's Wholesale Club Inc Dist Center,NJ,2208,61421718,0.003594819669485637
670,"BJ's Wholesale Club, Inc- Uxbridge",MA,986,19429320,0.005074804470768921
671,BMP Wind (TX),TX,66615,481398138,0.013837818375608256
